"OrderID","ProductID","UnitPrice","Quantity","Discount"
"10248","11","14","12","0.00"
"10248","42","9.8","10","0.00"
"10248","72","34.8","5","0.00"
"10249","14","18.6","9","0.00"
"10249","51","42.4","40","0.00"
"10250","41","7.7","10","0.00"
"10250","51","42.4","35","0.15"
"10250","65","16.8","15","0.15"
"10251","22","16.8","6","0.05"
"10251","57","15.6","15","0.05"
"10251","65","16.8","20","0.00"
"10252","20","64.8","40","0.05"
"10252","33","2","25","0.05"
"10252","60","27.2","40","0.00"
"10253","31","10","20","0.00"
"10253","39","14.4","42","0.00"
"10253","49","16","40","0.00"
"10254","24","3.6","15","0.15"
"10254","55","19.2","21","0.15"
"10254","74","8","21","0.00"
"10255","2","15.2","20","0.00"
"10255","16","13.9","35","0.00"
"10255","36","15.2","25","0.00"
"10255","59","44","30","0.00"
"10256","53","26.2","15","0.00"
"10256","77","10.4","12","0.00"
"10257","27","35.1","25","0.00"
"10257","39","14.4","6","0.00"
"10257","77","10.4","15","0.00"
"10258","2","15.2","50","0.20"
"10258","5","17","65","0.20"
"10258","32","25.6","6","0.20"
"10259","21","8","10","0.00"
"10259","37","20.8","1","0.00"
"10260","41","7.7","16","0.25"
"10260","57","15.6","50","0.00"
"10260","62","39.4","15","0.25"
"10260","70","12","21","0.25"
"10261","21","8","20","0.00"
"10261","35","14.4","20","0.00"
"10262","5","17","12","0.20"
"10262","7","24","15","0.00"
"10262","56","30.4","2","0.00"
"10263","16","13.9","60","0.25"
"10263","24","3.6","28","0.00"
"10263","30","20.7","60","0.25"
"10263","74","8","36","0.25"
"10264","2","15.2","35","0.00"
"10264","41","7.7","25","0.15"
"10265","17","31.2","30","0.00"
"10265","70","12","20","0.00"
"10266","12","30.4","12","0.05"
"10267","40","14.7","50","0.00"
"10267","59","44","70","0.15"
"10267","76","14.4","15","0.15"
"10268","29","99","10","0.00"
"10268","72","27.8","4","0.00"
"10269","33","2","60","0.05"
"10269","72","27.8","20","0.05"
"10270","36","15.2","30","0.00"
"10270","43","36.8","25","0.00"
"10271","33","2","24","0.00"
"10272","20","64.8","6","0.00"
"10272","31","10","40","0.00"
"10272","72","27.8","24","0.00"
"10273","10","24.8","24","0.05"
"10273","31","10","15","0.05"
"10273","33","2","20","0.00"
"10273","40","14.7","60","0.05"
"10273","76","14.4","33","0.05"
"10274","71","17.2","20","0.00"
"10274","72","27.8","7","0.00"
"10275","24","3.6","12","0.05"
"10275","59","44","6","0.05"
"10276","10","24.8","15","0.00"
"10276","13","4.8","10","0.00"
"10277","28","36.4","20","0.00"
"10277","62","39.4","12","0.00"
"10278","44","15.5","16","0.00"
"10278","59","44","15","0.00"
