OrderID,CustomerID,OrderDate,Year,Qtr,UnitPrice,Quantity,Discount,TotPurchase
10248,VINET,7/4/1996 0:00,1996,3,14,12,0,168
10248,VINET,7/4/1996 0:00,1996,3,9.8,10,0,98
10248,VINET,7/4/1996 0:00,1996,3,34.8,5,0,174
10249,TOMSP,7/5/1996 0:00,1996,3,18.6,9,0,167.4
10249,TOMSP,7/5/1996 0:00,1996,3,42.4,40,0,1696
10250,HANAR,7/8/1996 0:00,1996,3,7.7,10,0,77
10250,HANAR,7/8/1996 0:00,1996,3,42.4,35,0.15,1261.4
10250,HANAR,7/8/1996 0:00,1996,3,16.8,15,0.15,214.2
10251,VICTE,7/8/1996 0:00,1996,3,16.8,6,0.05,95.76
10251,VICTE,7/8/1996 0:00,1996,3,15.6,15,0.05,222.3
10251,VICTE,7/8/1996 0:00,1996,3,16.8,20,0,336
10252,SUPRD,7/9/1996 0:00,1996,3,64.8,40,0.05,2462.4
10252,SUPRD,7/9/1996 0:00,1996,3,2,25,0.05,47.5
10252,SUPRD,7/9/1996 0:00,1996,3,27.2,40,0,1088
10253,HANAR,7/10/1996 0:00,1996,3,10,20,0,200
10253,HANAR,7/10/1996 0:00,1996,3,14.4,42,0,604.8
10253,HANAR,7/10/1996 0:00,1996,3,16,40,0,640
10254,CHOPS,7/11/1996 0:00,1996,3,3.6,15,0.15,45.9
10254,CHOPS,7/11/1996 0:00,1996,3,19.2,21,0.15,342.72
10254,CHOPS,7/11/1996 0:00,1996,3,8,21,0,168
10255,RICSU,7/12/1996 0:00,1996,3,15.2,20,0,304
10255,RICSU,7/12/1996 0:00,1996,3,13.9,35,0,486.5
10255,RICSU,7/12/1996 0:00,1996,3,15.2,25,0,380
10255,RICSU,7/12/1996 0:00,1996,3,44,30,0,1320
10256,WELLI,7/15/1996 0:00,1996,3,26.2,15,0,393
10256,WELLI,7/15/1996 0:00,1996,3,10.4,12,0,124.8
10257,HILAA,7/16/1996 0:00,1996,3,35.1,25,0,877.5
10257,HILAA,7/16/1996 0:00,1996,3,14.4,6,0,86.4
10257,HILAA,7/16/1996 0:00,1996,3,10.4,15,0,156
10258,ERNSH,7/17/1996 0:00,1996,3,15.2,50,0.2,608
10258,ERNSH,7/17/1996 0:00,1996,3,17,65,0.2,884
10258,ERNSH,7/17/1996 0:00,1996,3,25.6,6,0.2,122.88
10259,CENTC,7/18/1996 0:00,1996,3,8,10,0,80
10259,CENTC,7/18/1996 0:00,1996,3,20.8,1,0,20.8
10260,OTTIK,7/19/1996 0:00,1996,3,7.7,16,0.25,92.4
10260,OTTIK,7/19/1996 0:00,1996,3,15.6,50,0,780
10260,OTTIK,7/19/1996 0:00,1996,3,39.4,15,0.25,443.25
